change                             ,fim_type       ,steering_success ,mutation          ,typechecks_before ,typechecks_after ,model            ,lang ,interval
"['__', 'Path']"                   ,Path           ,True             ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'str']"                    ,Any            ,False            ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'dict']"                   ,dict           ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'ContentType']"            ,ContentType    ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Any']"                    ,int            ,False            ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'int']"                    ,int            ,True             ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'bool']"                   ,bool           ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'bool']"                   ,bool           ,True             ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Params']"                 ,Params         ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'bool']"                   ,bool           ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'S']"                      ,S              ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Status']"                 ,Status         ,True             ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Type', 'Type']"                 ,float          ,False            ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Any']"                    ,Any            ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'datetime']"               ,datetime       ,True             ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'State']"                  ,State          ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'deque']"                  ,deque          ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['str', 'str']"                   ,Path           ,False            ,types_vars        ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Direction']"              ,Direction      ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Embedding']"              ,Embedding      ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Type']"                   ,list           ,False            ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'float']"                  ,float          ,True             ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Building']"               ,list           ,False            ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['typing', 'typing']"             ,float          ,False            ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['str', 'datetime']"              ,datetime       ,True             ,types_vars        ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Video']"                  ,Video          ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Dict', 'Path']"                 ,Path           ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['T', 'T']"                       ,Process        ,False            ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['data', 'str']"                  ,datetime       ,False            ,types_vars        ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Pid']"                    ,Pid            ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Params']"                 ,Params         ,True             ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Message']"                ,Message        ,True             ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Terminal']"               ,Terminal       ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Token']"                  ,Token          ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Embedding']"              ,Embedding      ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Embedding']"              ,Embedding      ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'str']"                    ,Request        ,False            ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Token']"                  ,Token          ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'str']"                    ,Send           ,False            ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'str']"                    ,bytes          ,False            ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Optional', 'Mount']"            ,Mount          ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Physics']"                ,Entity         ,False            ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Token']"                  ,Token          ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Condition']"              ,Condition      ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Receive']"                ,Scope          ,False            ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'str']"                    ,Exception      ,False            ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['float', 'State']"               ,State          ,True             ,types_vars        ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Message']"                ,Receive        ,False            ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Receive']"                ,Receive        ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Receive']"                ,Send           ,False            ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'models']"                 ,Settings       ,False            ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'T']"                      ,T              ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['typing', 'Message']"            ,Message        ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['chron', 'chron']"               ,Settings       ,False            ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Per']"                    ,Condition      ,False            ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Send']"                   ,Send           ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Solution']"               ,Solution       ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['""', 'models']"                 ,Settings       ,False            ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Block']"                  ,Block          ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Queue']"                  ,Queue          ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Hook']"                   ,Hook           ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Dict']"                   ,Dict           ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['psy', 'psy']"                   ,Dict           ,False            ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'str']"                    ,Address        ,False            ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'str']"                    ,Exception      ,False            ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Params']"                 ,Params         ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Go', 'Graph']"                  ,Graph          ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['str', 'str']"                   ,bytes          ,False            ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Model']"                  ,Model          ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"[""'"", 'Dataset']"               ,Dataset        ,True             ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Exception']"              ,Exception      ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'str']"                    ,bytes          ,False            ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Message']"                ,Message        ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Dict']"                   ,Dict           ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Table']"                  ,Table          ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'list']"                   ,list           ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'typing']"                 ,Model          ,False            ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Tuple', 'Tuple']"               ,State          ,False            ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Config']"                 ,Config         ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Web']"                    ,Contract       ,False            ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Watcher']"                ,Watcher        ,True             ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Dataset']"                ,Dataset        ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Literal']"                ,None           ,False            ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Coordinator']"            ,Coordinator    ,True             ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Config']"                 ,Config         ,True             ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'timedelta']"              ,timedelta      ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Client']"                 ,Resolver       ,False            ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Array']"                  ,Array          ,True             ,types_vars        ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Config', 'Item']"               ,Session        ,False            ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Module']"                 ,Module         ,True             ,types_vars        ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Per', 'List']"                  ,Condition      ,False            ,vars              ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['path', 'path']"                 ,str            ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['chron', 'chron']"               ,Settings       ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['element', 'element']"           ,str            ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['str', 'str']"                   ,bool           ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['bool', 'str']"                  ,str            ,True             ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['str', 'str']"                   ,Path           ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['np', 'np']"                     ,int            ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Recording', 'Segment']"         ,Segment        ,True             ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Optional', 'Optional']"         ,Path           ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Path', 'Any']"                  ,Any            ,True             ,vars              ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Vocab', 'Params']"              ,Params         ,True             ,vars              ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['torch', 'int']"                 ,int            ,True             ,vars              ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Any', 'Exception']"             ,Exception      ,True             ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['int', 'int']"                   ,float          ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['ty', 'dict']"                   ,dict           ,True             ,vars              ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['str', 'typing']"                ,bool           ,False            ,vars              ,True              ,False            ,starcoderbase-1b ,py   ,       5
"['str', 'Exception']"             ,Exception      ,True             ,vars              ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Union', 'Flask']"               ,Flask          ,True             ,vars              ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Tuple', 'Tuple']"               ,State          ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Receive', 'Request']"           ,Scope          ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Union', 'Union']"               ,Callable       ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['torch', 'int']"                 ,int            ,True             ,vars              ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['int', 'int']"                   ,Token          ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['float', 'bool']"                ,bool           ,True             ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Tuple', 'Tuple']"               ,State          ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['typing', 'dict']"               ,dict           ,True             ,vars              ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['tuple', 'tuple']"               ,Trivia         ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['str', '']"                      ,Any            ,False            ,vars              ,True              ,False            ,starcoderbase-1b ,py   ,       5
"['Exponent', '<filename>']"       ,Distribution   ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['str', 'Dict']"                  ,Team           ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Receive', 'Receive']"           ,Scope          ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Any', 'Path']"                  ,Path           ,True             ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Send', 'Receive']"              ,Receive        ,True             ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['__', '__']"                     ,annotation     ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', '__']"                     ,annotation     ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['dict', 'dict']"                 ,Counter        ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['int', 'App']"                   ,App            ,True             ,vars              ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['int', 'int']"                   ,Token          ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['str', 'Connection']"            ,Any            ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['str', 'JSON']"                  ,Address        ,False            ,vars              ,True              ,False            ,starcoderbase-1b ,py   ,       5
"['tuple', 'tuple']"               ,list           ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['App', 'App']"                   ,Scope          ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Update', 'Updater']"            ,Updater        ,True             ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['str', 'str']"                   ,float          ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['str', 'str']"                   ,datetime       ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Dataset', 'Dataset']"           ,Data           ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Any', 'Connection']"            ,Session        ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Model', 'Model']"               ,dict           ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Callback', 'Update']"           ,Update         ,True             ,vars              ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Update', 'Updater']"            ,Updater        ,True             ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Request', 'Request']"           ,Flask          ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['int', 'int']"                   ,float          ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Update', 'Updater']"            ,Updater        ,True             ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Callback', 'Callback']"         ,Update         ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Freq', 'Dict']"                 ,Dict           ,True             ,vars              ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['dict', 'Config']"               ,Config         ,True             ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['DataFrame', 'DataFrame']"       ,Dict           ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['typing', 'typing']"             ,list           ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Dict', 'Dict']"                 ,DataFrame      ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['List', 'Dict']"                 ,Config         ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['str', 'type']"                  ,type           ,True             ,vars              ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Freq', 'Dict']"                 ,Dict           ,True             ,vars              ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Freq', 'DataFrame']"            ,DataFrame      ,True             ,vars              ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Abstract', 'Props']"            ,PID            ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Dict', 'Dict']"                 ,UserProfile    ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['(', 'socket']"                  ,Settings       ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Trans', 'Trans']"               ,Pipeline       ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Message', 'PID']"               ,PID            ,True             ,vars              ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['int', 'Token']"                 ,Token          ,True             ,vars              ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['str', 'str']"                   ,Message        ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['I', 'I']"                       ,Storage        ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['str', 'UUID']"                  ,UUID           ,True             ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['str', 'str']"                   ,Send           ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['torch', 'Params']"              ,Params         ,True             ,vars              ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['str', 'UUID']"                  ,UUID           ,True             ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['data', 'str']"                  ,datetime       ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Vocab', 'Params']"              ,Params         ,True             ,vars              ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['HTTP', 'Exception']"            ,Exception      ,True             ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['float', 'Optional']"            ,State          ,False            ,vars              ,True              ,False            ,starcoderbase-1b ,py   ,       5
"['models', 'Settings']"           ,Settings       ,True             ,vars              ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['List', 'List']"                 ,Condition      ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['T', 'T']"                       ,Process        ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Send', 'Receive']"              ,Receive        ,True             ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['str', 'str']"                   ,bytes          ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Track', 'Track']"               ,Serializable   ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['str', 'str']"                   ,T              ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['str', 'bytes']"                 ,bytes          ,True             ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Track', 'Track']"               ,Serializable   ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Recording', 'Recording']"       ,Segment        ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['str', 'str']"                   ,Templates      ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Test', 'Test']"                 ,Flask          ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Dict', 'UUID']"                 ,UUID           ,True             ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['models', 'models']"             ,User           ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['str', 'str']"                   ,bytes          ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"[""'"", ""'""]"                   ,Dataset        ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['int', 'int']"                   ,None           ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Exit', 'Exit']"                 ,Page           ,False            ,vars              ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Dict', 'Dict']"                 ,UserProfile    ,False            ,vars              ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['*', 'ArgumentParser']"          ,ArgumentParser ,True             ,vars              ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Number', 'Number']"             ,int            ,False            ,vars_delete       ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['int', 'int']"                   ,str            ,False            ,vars_delete       ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['z', 'z']"                       ,Any            ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Dict', 'Any']"                  ,Any            ,True             ,vars_delete       ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Optional', 'Optional']"         ,int            ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Dispatcher', 'Dispatcher']"     ,str            ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['TO', 'TO']"                     ,str            ,False            ,vars_delete       ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Tensor', 'Tensor']"             ,int            ,False            ,vars_delete       ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Distribution', 'Distribution']" ,Normal         ,False            ,vars_delete       ,True              ,True             ,starcoderbase-1b ,py   ,       5
"[""'"", 'Z']"                     ,Any            ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['T', 'Node']"                    ,TP             ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['list', 'Run']"                  ,Run            ,True             ,vars_delete       ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Any', 'Argument']"              ,ArgumentParser ,False            ,vars_delete       ,True              ,False            ,starcoderbase-1b ,py   ,       5
"['gr', 'gr']"                     ,Path           ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['T', 'T']"                       ,TP             ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Auth', 'Auth']"                 ,QueryParser    ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['""', '""']"                     ,Item           ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['typing', 'T']"                  ,T              ,True             ,vars_delete       ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['NodeList', 'Node']"             ,T              ,False            ,vars_delete       ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['typing', 'Receive']"            ,Send           ,False            ,vars_delete       ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Dict', 'Vocab']"                ,Params         ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Optional', 'Optional']"         ,bool           ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Union', 'Union']"               ,float          ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['torch', 'torch']"               ,float          ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'App']"                    ,App            ,True             ,vars_delete       ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['str', 'str']"                   ,bytes          ,False            ,vars_delete       ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['int', 'Token']"                 ,Token          ,True             ,vars_delete       ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Job', 'Job']"                   ,Event          ,False            ,vars_delete       ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['WebSocket', 'WebSocket']"       ,list           ,False            ,vars_delete       ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['web', 'web']"                   ,Callable       ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['tuple', '[']"                   ,Trivia         ,False            ,vars_delete       ,True              ,False            ,starcoderbase-1b ,py   ,       5
"['Nn', 'Normal']"                 ,Distribution   ,False            ,vars_delete       ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Dict', 'Any']"                  ,dict           ,False            ,vars_delete       ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Send', 'Receive']"              ,Receive        ,True             ,vars_delete       ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['pytest', 'fixture']"            ,fixture        ,True             ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['', '<|endoftext|>']"            ,bool           ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Tensor', 'Tensor']"             ,Normal         ,False            ,vars_delete       ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'types']"                  ,annotation     ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Router', 'Router']"             ,App            ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Dict', 'Counter']"              ,Counter        ,True             ,vars_delete       ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['str', 'Binary']"                ,Team           ,False            ,vars_delete       ,True              ,False            ,starcoderbase-1b ,py   ,       5
"['int', 'float']"                 ,float          ,True             ,vars_delete       ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'types']"                  ,annotation     ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Any', '<|endoftext|>']"         ,bool           ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Template', 'Template']"         ,Templates      ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Iterator', 'Iterator']"         ,Event          ,False            ,vars_delete       ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Generator', 'Generator']"       ,dict           ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['pytest', 'Event']"              ,Event          ,True             ,vars_delete       ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['str', 'Path']"                  ,Path           ,True             ,vars_delete       ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['""', 'Node']"                   ,Node           ,True             ,vars_delete       ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Any', '<|endoftext|>']"         ,bytes          ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Connection', 'Connection']"     ,Session        ,False            ,vars_delete       ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['""', 'Node']"                   ,Node           ,True             ,vars_delete       ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Update', 'Update']"             ,Updater        ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Task', '<gh_stars>']"           ,dict           ,False            ,vars_delete       ,True              ,False            ,starcoderbase-1b ,py   ,       5
"['Callback', '1']"                ,Updater        ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['UDP', 'UDP']"                   ,bytes          ,False            ,vars_delete       ,False             ,False            ,starcoderbase-1b ,py   ,       5
